@relation mushroom_cleaned

@attribute classes {edible,poisonous}
@attribute cap-shape {knobbed,convex,bell,flat,conical}
@attribute cap-surface {scaly,smooth,fibrous}
@attribute cap-color {red,brown,gray,yellow,white,cinnamon,pink}
@attribute bruises {no,bruises}
@attribute odor {spicy,fishy,none,musty,foul}
@attribute gill-attachment {free,attached}
@attribute gill-spacing {close,crowded}
@attribute gill-size {narrow,broad}
@attribute gill-color {buff,white,yellow,pink,brown,gray,orange}
@attribute stalk-shape {tapering,enlarging}
@attribute stalk-root {club,bulbous}
@attribute stalk-surface-above-ring {smooth,scaly}
@attribute stalk-surface-below-ring {smooth,scaly}
@attribute stalk-color-above-ring {pink,white,cinamonn,yellow,orange,brown}
@attribute stalk-color-below-ring {pink,white,cinamonn,yellow,orange,brown}
@attribute veil-type {partial}
@attribute veil-color {white,yellow,orange,brown}
@attribute ring-number {one,two,none}
@attribute ring-type {evanescent,pendant,none}
@attribute spore-print-color {white,yellow,orange,buff,brown}
@attribute population {several,scattered,clustered,numerous,solitary}
@attribute habitat {leaves,woods,paths,grasses}

@data
edible,knobbed,scaly,red,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,leaves
edible,knobbed,smooth,red,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods
edible,convex,smooth,red,no,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,paths
edible,knobbed,smooth,red,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,white,pink,partial,white,one,evanescent,white,several,woods
edible,knobbed,smooth,brown,no,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods
edible,bell,fibrous,gray,no,none,free,crowded,broad,white,enlarging,?,smooth,smooth,white,white,partial,white,two,pendant,white,scattered,grasses
edible,knobbed,scaly,brown,no,musty,attached,close,broad,yellow,enlarging,club,smooth,scaly,cinamonn,cinamonn,partial,white,none,none,white,clustered,woods
edible,flat,smooth,brown,bruises,none,free,close,broad,white,enlarging,bulbous,smooth,smooth,white,white,partial,white,two,pendant,white,several,paths
edible,knobbed,smooth,brown,no,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,paths
edible,flat,scaly,yellow,no,none,free,crowded,narrow,yellow,enlarging,club,scaly,scaly,yellow,yellow,partial,yellow,one,evanescent,white,clustered,leaves
edible,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,white,white,partial,white,one,evanescent,white,several,leaves
edible,flat,scaly,red,no,musty,attached,close,broad,yellow,enlarging,club,smooth,scaly,cinamonn,cinamonn,partial,white,none,none,white,clustered,woods
edible,convex,fibrous,gray,no,none,free,crowded,broad,pink,enlarging,?,smooth,smooth,white,white,partial,white,two,pendant,white,numerous,grasses
edible,knobbed,scaly,brown,no,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods
edible,knobbed,smooth,brown,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,white,pink,partial,white,one,evanescent,white,several,leaves
edible,flat,scaly,brown,no,fishy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods
edible,flat,smooth,brown,no,none,attached,close,broad,brown,enlarging,?,smooth,smooth,orange,orange,partial,orange,one,pendant,yellow,clustered,leaves
edible,knobbed,scaly,brown,no,spicy,free,close,narrow,buff,tapering,?,smooth,smooth,pink,pink,partial,white,one,evanescent,white,several,woods
edible,flat,scaly,brown,no,foul,free,close,narrow,buff,tapering,?,smooth,smooth,pink,white,partial,white,one,evanescent,white,several,woods
